id,domain,source,text_en,text_es
corp_11,politica,wikipedia,"Democracy is a system of government in which power is vested in the people, who exercise it directly or through freely elected representatives. Most modern democracies combine elements of direct democracy with representative institutions and constitutional protections for individual rights and civil liberties.","La democracia es un sistema de gobierno en el que el poder reside en el pueblo, que lo ejerce directamente o a través de representantes elegidos libremente. La mayoría de las democracias modernas combinan elementos de democracia directa con instituciones representativas y protecciones constitucionales de los derechos individuales y las libertades civiles."
corp_12,linguistica,wikipedia,"Spanish is a Romance language of the Indo-European language family. It is the world's second most spoken native language after Mandarin Chinese, with approximately four hundred and eighty million native speakers. Spanish is the official language of twenty countries and is widely spoken in Latin America, Spain, and parts of the United States.","El español es una lengua romance de la familia de lenguas indoeuropeas. Es el segundo idioma nativo más hablado del mundo, después del chino mandarín, con aproximadamente cuatrocientos ochenta millones de hablantes nativos. El español es la lengua oficial de veinte países y es ampliamente hablado en América Latina, España y partes de Estados Unidos."
corp_13,salud_publica,wikipedia,"Vaccination is the process by which a person becomes protected against a disease through administration of a vaccine. Vaccines are preparations that contain weakened or inactivated pathogens or their components, which stimulate the immune system to produce antibodies without causing the disease itself.","La vacunación es el proceso por el cual una persona queda protegida contra una enfermedad mediante la administración de una vacuna. Las vacunas son preparaciones que contienen patógenos debilitados o inactivados, o sus componentes, que estimulan al sistema inmunitario a producir anticuerpos sin causar la enfermedad en sí."
corp_14,derecho,wikipedia,"Human rights are moral principles or norms that describe certain standards of human behavior and are regularly protected by municipal and international law. They are commonly understood as inalienable fundamental rights to which a person is inherently entitled simply by virtue of being a human being.","Los derechos humanos son principios o normas morales que describen ciertos estándares del comportamiento humano y son habitualmente protegidos por la legislación nacional e internacional. Se entienden comúnmente como derechos fundamentales inalienables a los que toda persona tiene derecho por el mero hecho de ser humana."
corp_15,geografia_latam,wikipedia,"The Andes mountain range is the longest continental mountain range in the world, running the length of the western coast of South America. It is approximately seven thousand kilometers long and passes through seven countries: Venezuela, Colombia, Ecuador, Peru, Bolivia, Chile, and Argentina.","La cordillera de los Andes es la cadena montañosa continental más larga del mundo y recorre la longitud de la costa occidental de América del Sur. Tiene aproximadamente siete mil kilómetros de longitud y atraviesa siete países: Venezuela, Colombia, Ecuador, Perú, Bolivia, Chile y Argentina."
corp_16,tecnologia,wikipedia,"The internet is a global system of interconnected computer networks that uses standardized communication protocols to link devices worldwide. It carries a vast range of information resources and services, including the interlinked hypertext documents and applications of the World Wide Web.","Internet es un sistema global de redes de computadoras interconectadas que utiliza protocolos de comunicación estandarizados para vincular dispositivos en todo el mundo. Alberga una amplia gama de recursos e información y servicios, incluidos los documentos e hipertextos interconectados y las aplicaciones de la World Wide Web."
corp_17,historia,wikipedia,"World War II was a global conflict that lasted from 1939 to 1945. It involved most of the world's nations, including all the great powers, forming two opposing military alliances. It was the deadliest conflict in human history, resulting in an estimated fifty to eighty-five million fatalities worldwide.","La Segunda Guerra Mundial fue un conflicto mundial que duró de 1939 a 1945. Involucró a la mayoría de las naciones del mundo, incluidas todas las grandes potencias, formando dos alianzas militares opuestas. Fue el conflicto más mortífero de la historia de la humanidad, con un estimado de cincuenta a ochenta y cinco millones de víctimas fatales en todo el mundo."
corp_18,ciencia,wikipedia,"Quantum computing is a type of computation that harnesses the collective properties of quantum states, such as superposition, interference, and entanglement, to perform calculations. Devices that perform quantum computations are known as quantum computers and are believed to be able to solve certain computational problems much more quickly than classical computers.","La computación cuántica es un tipo de computación que aprovecha las propiedades colectivas de los estados cuánticos, como la superposición, la interferencia y el entrelazamiento, para realizar cálculos. Los dispositivos que realizan computaciones cuánticas se conocen como computadoras cuánticas y se cree que pueden resolver ciertos problemas computacionales mucho más rápidamente que las computadoras clásicas."
corp_19,cultura_latam,wikipedia,"Gabriel García Márquez was a Colombian novelist and short-story writer, screenwriter, and journalist who was awarded the Nobel Prize in Literature in 1982. He is best known for his novel One Hundred Years of Solitude, a landmark of magical realism and an essential work in world literature.","Gabriel García Márquez fue un novelista y cuentista, guionista y periodista colombiano galardonado con el Premio Nobel de Literatura en 1982. Es conocido principalmente por su novela Cien años de soledad, un hito del realismo mágico y una obra esencial de la literatura mundial."
corp_20,medicina,wikipedia,"Mental health includes our emotional, psychological, and social well-being. It affects how we think, feel, and act. It also helps determine how we handle stress, relate to others, and make choices. Mental health is important at every stage of life, from childhood and adolescence through adulthood.","La salud mental incluye nuestro bienestar emocional, psicológico y social. Afecta la forma en que pensamos, sentimos y actuamos. También ayuda a determinar cómo manejamos el estrés, nos relacionamos con los demás y tomamos decisiones. La salud mental es importante en cada etapa de la vida, desde la infancia y la adolescencia hasta la edad adulta."
corp_21,economia,wikipedia,"The gross domestic product is a monetary measure of the market value of all the final goods and services produced in a specific time period by a country or countries. GDP is most commonly used as a measure of economic performance and is considered the primary indicator of national economic growth.","El producto interior bruto es una medida monetaria del valor de mercado de todos los bienes y servicios finales producidos en un período de tiempo específico por un país o países. El PIB se utiliza más comúnmente como medida del desempeño económico y se considera el principal indicador del crecimiento económico nacional."
corp_22,historia_latam,wikipedia,"The Cuban Revolution was an armed revolt that toppled the government of Fulgencio Batista in 1959 and brought Fidel Castro to power. The revolution transformed Cuba into a socialist state and marked a defining moment in Cold War politics in Latin America, triggering decades of US-Cuba tension.","La Revolución Cubana fue una revuelta armada que derrocó al gobierno de Fulgencio Batista en 1959 y llevó al poder a Fidel Castro. La revolución transformó a Cuba en un Estado socialista y marcó un momento definitorio en la política de la Guerra Fría en América Latina, desencadenando décadas de tensión entre Estados Unidos y Cuba."
corp_23,educacion,wikipedia,"Education is the process of facilitating learning or the acquisition of knowledge, skills, values, morals, beliefs, habits, and personal development. Educational methods include teaching, training, storytelling, discussion, and directed research. Education frequently takes place under the guidance of educators.","La educación es el proceso de facilitar el aprendizaje o la adquisición de conocimientos, habilidades, valores, creencias, hábitos y desarrollo personal. Los métodos educativos incluyen la enseñanza, el entrenamiento, la narración, la discusión y la investigación dirigida. La educación frecuentemente tiene lugar bajo la guía de educadores."
corp_24,derecho_latam,wikipedia,"The Mercosur, formally known as the Southern Common Market, is a South American trade bloc that promotes the free movement of goods, capital, services, and people among its member states. It was established by the Treaty of Asunción in 1991 and currently includes Argentina, Brazil, Paraguay, and Uruguay as full members.","El Mercosur, formalmente conocido como Mercado Común del Sur, es un bloque comercial sudamericano que promueve la libre circulación de bienes, capital, servicios y personas entre sus estados miembros. Fue establecido por el Tratado de Asunción en 1991 y actualmente incluye a Argentina, Brasil, Paraguay y Uruguay como miembros plenos."
corp_25,salud,wikipedia,"Hypertension, also known as high blood pressure, is a chronic condition in which the pressure in the arteries is persistently elevated. The major risk factors for hypertension include obesity, excessive salt intake, physical inactivity, alcohol consumption, and a family history of high blood pressure.","La hipertensión, también conocida como presión arterial alta, es una afección crónica en la que la presión de las arterias está persistentemente elevada. Los principales factores de riesgo de hipertensión incluyen la obesidad, el consumo excesivo de sal, el sedentarismo, el consumo de alcohol y los antecedentes familiares de presión arterial alta."
corp_26,tecnologia,wikipedia,"Cybersecurity refers to the practice of protecting computer systems, networks, programs, and data from digital attacks, damage, or unauthorized access. These cyberattacks are usually aimed at accessing, changing, or destroying sensitive information, extorting money from users, or interrupting normal business processes.","La ciberseguridad se refiere a la práctica de proteger sistemas informáticos, redes, programas y datos de ataques digitales, daños o accesos no autorizados. Estos ciberataques suelen ir dirigidos a acceder, modificar o destruir información confidencial, extorsionar dinero a los usuarios o interrumpir los procesos empresariales normales."
corp_27,cultura,wikipedia,"Music is an art form and cultural activity whose medium is sound. The creation, performance, significance, and even the definition of music vary according to culture and social context. Music ranges from strictly organized compositions to spontaneous aleatoric forms, and from religious hymns to popular music.","La música es una forma de arte y actividad cultural cuyo medio es el sonido. La creación, la interpretación, el significado e incluso la definición de música varían según la cultura y el contexto social. La música abarca desde composiciones estrictamente organizadas hasta formas aleatorias espontáneas, y desde himnos religiosos hasta música popular."
corp_28,historia_latam,wikipedia,"The Chilean coup of 1973 was a military coup that overthrew the democratically elected socialist government of Salvador Allende in Chile. On September 11, 1973, military forces bombed the presidential palace La Moneda. General Augusto Pinochet established a military junta that ruled Chile until 1990.","El golpe de Estado en Chile de 1973 fue un golpe militar que derrocó al gobierno socialista democráticamente elegido de Salvador Allende en Chile. El 11 de septiembre de 1973, las fuerzas militares bombardearon el palacio presidencial de La Moneda. El general Augusto Pinochet estableció una junta militar que gobernó Chile hasta 1990."
corp_29,medio_ambiente,wikipedia,"Deforestation refers to the large-scale removal of forests and woodland areas. Its main causes include agriculture expansion, cattle ranching, logging, mining, and urban development. In Latin America, the Amazon rainforest has been significantly affected, with profound consequences for biodiversity and climate regulation.","La deforestación se refiere a la eliminación a gran escala de bosques y zonas boscosas. Sus principales causas incluyen la expansión agrícola, la ganadería, la tala, la minería y el desarrollo urbano. En América Latina, la selva amazónica se ha visto significativamente afectada, con profundas consecuencias para la biodiversidad y la regulación del clima."
corp_30,politica_latam,wikipedia,"Populism is a political approach that strives to appeal to ordinary people who feel that their concerns are disregarded by established elite groups. It has been a recurring feature of Latin American politics throughout the twentieth century, with figures such as Juan Perón of Argentina and Hugo Chávez of Venezuela as prominent examples.","El populismo es un enfoque político que busca apelar a la gente común que siente que sus preocupaciones son ignoradas por los grupos élite establecidos. Ha sido una característica recurrente de la política latinoamericana a lo largo del siglo XX, con figuras como Juan Perón de Argentina y Hugo Chávez de Venezuela como ejemplos destacados."
